"table","column"
"orders-mps","_id"
"orders-mps","email"
"orders-mps","referring_site"
"orders-mps","total_price"
"orders-mps","customer_~_id"
"orders-mps","financial_status"
"orders-mps","_updated_at"
"orders-mps","fulfillment_status"
"orders-mps","created_at"
"orders-mps","referring_site (URL Domain)"
"orders-mps","Revenue (total_price)"
"orders-mps","Customer's order number"
"orders-mps","Seconds since previous order"
"orders-mps","Customer's first order date"
"orders-mps","Customer's lifetime number of orders"
"orders-mps","Customer's lifetime revenue"
"orders-mps","Customer's creation date"
"orders-mps","Customer's first order's referring_site (URL domain)"
"orders-mps","Customer's email"
"orders-mps","Seconds between order timestamp and customer's creation date"
"orders-mps","Customer's order number (previous - current)"
"orders-mps","Customer's address (city)"
"orders-mps","Customer's address (country)"
"orders-mps","Customer's address (state or province)"
"orders-mps","Order's date (day of the week)"
"orders-mps","subtotal_price"
"orders-mps","total_discounts"
"orders-mps","total_tax"
"orders-mps","number"
"orders-mps","id"
"orders-mps","order_number"
"orders-mps","cancelled_at"
"orders-mps","total_line_items_price"
"orders-mps","tags"
"customers-mps","_id"
"customers-mps","email"
"customers-mps","default_address_~_city"
"customers-mps","default_address_~_province"
"customers-mps","default_address_~_country"
"customers-mps","_updated_at"
"customers-mps","created_at"
"customers-mps","Customer's first order's referring_site (URL domain)"
"customers-mps","Customer's first order date"
"customers-mps","Customer's lifetime revenue"
"customers-mps","Customer's lifetime number of orders"
"customers-mps","Seconds between first order date and customer's creation date"
"customers-mps","Customer's first 30 day revenue"
"customers-mps","Customer's first 60 day revenue"
"customers-mps","Customer's first 90 day revenue"
"customers-mps","Customer's first 365 day revenue"
"customers-mps","Seconds since customer was created"
"customers-mps","first_name"
"customers-mps","last_name"
"customers-mps","Customer's creation date (day of the week)"
"customers-mps","default_address_~_address1"
"customers-mps","default_address_~_address2"
"customers-mps","default_address_~_country_name"
"customers-mps","default_address_~_default"
"customers-mps","default_address_~_zip"
"customers-mps","total_spent"
"customers-mps","tags"
"orders_~_line_items-mps","vendor"
"orders_~_line_items-mps","product_id"
"orders_~_line_items-mps","variant_title"
"orders_~_line_items-mps","title"
"orders_~_line_items-mps","quantity"
"orders_~_line_items-mps","price"
"orders_~_line_items-mps","_id_of_parent"
"orders_~_line_items-mps","_sub_id"
"orders_~_line_items-mps","Order's date"
"orders_~_line_items-mps","Order item total value (quantity * price)"
"orders_~_line_items-mps","Product's type"
"orders_~_line_items-mps","Customer's address (city)"
"orders_~_line_items-mps","Customer's address (state or province)"
"orders_~_line_items-mps","Customer's address (country)"
"orders_~_line_items-mps","Order's referring_site (URL Domain)"
"orders_~_line_items-mps","Customer's first order's referring_site (URL domain)"
"orders_~_line_items-mps","Order's financial_status"
"orders_~_line_items-mps","Order's fulfillment_status"
"orders_~_line_items-mps","variant_id"
"orders_~_line_items-mps","fulfillable_quantity"
"orders_~_line_items-mps","id"
"products-mps","_id"
"products-mps","product_type"
"products-mps","_updated_at"
"products-mps","vendor"
"products-mps","title"
"products-mps","created_at"
"products-mps","handle"
"products-mps","tags"
"products-mps","updated_at"
"products-mps","body_html"
"products-mps","published_at"
"products-mps","template_suffix"
"customers-hg","_id"
"customers-hg","email"
"customers-hg","first_name"
"customers-hg","default_address_~_city"
"customers-hg","default_address_~_province"
"customers-hg","default_address_~_country"
"customers-hg","_updated_at"
"customers-hg","last_name"
"customers-hg","created_at"
"customers-hg","default_address_~_address1"
"customers-hg","default_address_~_address2"
"customers-hg","default_address_~_country_name"
"customers-hg","default_address_~_default"
"customers-hg","default_address_~_zip"
"customers-hg","total_spent"
"customers-hg","tags"
"orders-hg","_id"
"orders-hg","email"
"orders-hg","referring_site"
"orders-hg","total_price"
"orders-hg","customer_~_id"
"orders-hg","financial_status"
"orders-hg","_updated_at"
"orders-hg","fulfillment_status"
"orders-hg","created_at"
"orders-hg","subtotal_price"
"orders-hg","total_discounts"
"orders-hg","total_tax"
"orders-hg","number"
"orders-hg","id"
"orders-hg","order_number"
"orders-hg","cancelled_at"
"orders-hg","total_line_items_price"
"orders-hg","tags"
"orders_~_line_items-hg","vendor"
"orders_~_line_items-hg","product_id"
"orders_~_line_items-hg","variant_title"
"orders_~_line_items-hg","title"
"orders_~_line_items-hg","quantity"
"orders_~_line_items-hg","price"
"orders_~_line_items-hg","_id_of_parent"
"orders_~_line_items-hg","_sub_id"
"orders_~_line_items-hg","variant_id"
"orders_~_line_items-hg","id"
"products-hg","_id"
"products-hg","product_type"
"products-hg","_updated_at"
"products-hg","created_at"
"products-hg","title"
"products-hg","body_html"
"products-hg","handle"
"products-hg","tags"
"products-hg","updated_at"
"products-hg","vendor"
"products-hg","published_at"
"products-consolidated","Source Table Name"
"products-consolidated","Source Table Index"
"products-consolidated","_id"
"products-consolidated","product_type"
"products-consolidated","Consolidated product ID"
"products-consolidated","tags"
"products-consolidated","title"
"products-consolidated","created_at"
"products-consolidated","published_at"
"products-consolidated","Total product inventory quantity"
"products-consolidated","Seconds since created_at"
"products-consolidated","Seconds since published_at"
"orders-consolidated","Source Table Name"
"orders-consolidated","Source Table Index"
"orders-consolidated","_id"
"orders-consolidated","email"
"orders-consolidated","referring_site"
"orders-consolidated","total_price"
"orders-consolidated","customer_~_id"
"orders-consolidated","financial_status"
"orders-consolidated","fulfillment_status"
"orders-consolidated","created_at"
"orders-consolidated","Consolidated order ID"
"orders-consolidated","referring_site (URL Domain)"
"orders-consolidated","Revenue (total_price)"
"orders-consolidated","Customer's order number"
"orders-consolidated","Customer's lifetime number of orders"
"orders-consolidated","Customer's lifetime revenue"
"orders-consolidated","Customer's first order date"
"orders-consolidated","Customer's first order's referring_site (URL Domain)"
"orders-consolidated","Order's date (day of the week)"
"orders-consolidated","Consolidated customer ID"
"orders-consolidated","Customer's creation date"
"orders-consolidated","Customer's address (state or province)"
"orders-consolidated","Seconds since previous order"
"orders-consolidated","Seconds between order timestamp and customer's creation date"
"orders-consolidated","Seconds between order timestamp and customer's first order date"
"orders-consolidated","Customer's order numbers (previous-current)"
"orders-consolidated","Customer's address (country)"
"orders-consolidated","Seconds since customer's first order date"
"orders-consolidated","Customer's first 30 day revenue"
"orders-consolidated","Customer's first 60 day revenue"
"orders-consolidated","Customer's first 90 day revenue"
"orders-consolidated","Customer's first 365 day revenue"
"orders-consolidated","total_discounts"
"orders-consolidated","total_tax"
"orders-consolidated","order_number"
"orders-consolidated","HG shipping price"
"orders-consolidated","MPS shipping price"
"orders-consolidated","Consolidated shipping price"
"orders-consolidated","cancelled_at"
"orders-consolidated","Order_number (for Ecommerce)"
"orders-consolidated","Order's GA campaign"
"orders-consolidated","Order refund amount"
"orders-consolidated","Net revenue (total_price - refunds)"
"orders-consolidated","Master Email"
"orders-consolidated","Input: Master Email"
"orders-consolidated","Master customer ID"
"orders-consolidated","Coupon code"
"orders-consolidated","Coupon amount"
"orders-consolidated","Months between first order and this order"
"orders-consolidated","Age in Seconds of created_at"
"orders-consolidated","Months since order"
"orders-consolidated","Is in current month?"
"orders-consolidated","Is customer's last order?"
"orders-consolidated","Seconds since created_at"
"orders-consolidated","Months since previous order"
"orders-consolidated","Weeks since order"
"orders-consolidated","Weeks since previous order"
"orders-consolidated","total_line_items_price"
"orders-consolidated","Order's GA medium"
"orders-consolidated","Order's GA source"
"orders-consolidated","Order's GA socialNetwork"
"orders-consolidated","Order's GA keyword"
"orders-consolidated","tags"
"orders-consolidated","Customer's first ""Showroom_HG"" order date"
"orders-consolidated","Before / After / Showroom_HG"
"orders-consolidated","Customer's Showroom Only / Showroom and Account / Neither"
"order_~_line_items-consolidated","Source Table Name"
"order_~_line_items-consolidated","Source Table Index"
"order_~_line_items-consolidated","_id_of_parent"
"order_~_line_items-consolidated","_sub_id"
"order_~_line_items-consolidated","vendor"
"order_~_line_items-consolidated","product_id"
"order_~_line_items-consolidated","variant_title"
"order_~_line_items-consolidated","title"
"order_~_line_items-consolidated","quantity"
"order_~_line_items-consolidated","price"
"order_~_line_items-consolidated","Consolidated order ID"
"order_~_line_items-consolidated","Consolidated product ID"
"order_~_line_items-consolidated","Order's date"
"order_~_line_items-consolidated","Order item total value (quantity * price)"
"order_~_line_items-consolidated","Product's type"
"order_~_line_items-consolidated","Order's referring_site (URL Domain)"
"order_~_line_items-consolidated","Order's financial_status"
"order_~_line_items-consolidated","Order's fulfillment_status"
"order_~_line_items-consolidated","variant_id"
"order_~_line_items-consolidated","Consolidated variant ID"
"order_~_line_items-consolidated","Variant Drop or Stock"
"order_~_line_items-consolidated","Variant First Available"
"order_~_line_items-consolidated","Variant ID [pk]"
"order_~_line_items-consolidated","Variant Mapped Color"
"order_~_line_items-consolidated","Variant Mapped Size"
"order_~_line_items-consolidated","Variant Opening Price"
"order_~_line_items-consolidated","Variant SKU"
"order_~_line_items-consolidated","Order's cancelled_at"
"order_~_line_items-consolidated","Master Email"
"order_~_line_items-consolidated","Default Supplier Cost"
"order_~_line_items-consolidated","All - Cost by item (quantity * cost)"
"order_~_line_items-consolidated","Variant order number"
"order_~_line_items-consolidated","Supplemental variant_id (HG) (input)"
"order_~_line_items-consolidated","Supplemental variant_id (MPS1) (input)"
"order_~_line_items-consolidated","Supplemental product_id (MPS) (input)"
"order_~_line_items-consolidated","Supplemental variant_id (MPS2) (input)"
"order_~_line_items-consolidated","Consolidated product_id (with supplementals) (use)"
"order_~_line_items-consolidated","Consolidated variant_id (with supplementals) (use)"
"order_~_line_items-consolidated","Product's tags"
"order_~_line_items-consolidated","Price Range ($50 intervals)"
"order_~_line_items-consolidated","Price Range ($25 intervals)"
"order_~_line_items-consolidated","Total qty of this sku sold"
"order_~_line_items-consolidated","First date that sku sold at this price"
"order_~_line_items-consolidated","Last date that sku sold at this price"
"order_~_line_items-consolidated","Seconds that sku active at this price"
"order_~_line_items-consolidated","Total qty of this sku sold at this price"
"order_~_line_items-consolidated","input: _id_of_parent*100 + _sub_id"
"order_~_line_items-consolidated","Variant SKU - price"
"order_~_line_items-consolidated","input: instance number of Variant SKU - price"
"order_~_line_items-consolidated","First date that sku sold"
"order_~_line_items-consolidated","Last date that sku sold"
"order_~_line_items-consolidated","Seconds between first and last date that sku sold"
"order_~_line_items-consolidated","Ratio of share of qty vs share of time"
"order_~_line_items-consolidated","input: xth price"
"order_~_line_items-consolidated","input: xth price + 1"
"order_~_line_items-consolidated","input: first date that sku sold at next price"
"order_~_line_items-consolidated","Last date that sku active at this price"
"order_~_line_items-consolidated","Variant SKU (reference to Consolidated product variants)"
"order_~_line_items-consolidated","Customer's tags"
"order_~_line_items-consolidated","Order's tags"
"order_~_line_items-consolidated","Order's Before / After / Showroom_HG"
"order_~_line_items-consolidated","Customer's Showroom Only / Showroom and Account / Neither"
"order_~_line_items-consolidated","Customer's first ""Showroom_HG"" order date"
"order_~_line_items-consolidated","Customer's lifetime number of orders"
"customers-consolidated","Source Table Name"
"customers-consolidated","Source Table Index"
"customers-consolidated","_id"
"customers-consolidated","email"
"customers-consolidated","created_at"
"customers-consolidated","default_address_~_province"
"customers-consolidated","default_address_~_country"
"customers-consolidated","Consolidated customer ID"
"customers-consolidated","Master Email"
"customers-consolidated","Input: Master Email"
"customers-consolidated","Master customer ID"
"customers-consolidated","Master customer ID occurrence number"
"customers-consolidated","Customer's lifetime number of orders"
"customers-consolidated","Seconds since customer's creation date"
"customers-consolidated","Customer lifetime spend"
"customers-consolidated","Customer's acquisition campaign medium "
"customers-consolidated","Customer's acquisition campaign source "
"customers-consolidated","Customer's acquisition campaign name "
"customers-consolidated","Customer's acquisition subscribed date"
"customers-consolidated","tags"
"customers-consolidated","Showroom Only / Showroom and Account / Neither"
"adwords-mps","_id"
"adwords-mps","date"
"adwords-mps","impressions"
"adwords-mps","adClicks"
"adwords-mps","_updated_at"
"adwords-mps","campaign"
"adwords-mps","adCost"
"file_upload-variant_metafields-mps","Variant ID"
"file_upload-variant_metafields-mps","Variant SKU"
"file_upload-variant_metafields-mps","Variant First Available"
"file_upload-variant_metafields-mps","Variant Mapped Color"
"file_upload-variant_metafields-mps","Variant Opening Price"
"file_upload-variant_metafields-mps","Variant Mapped Size"
"file_upload-variant_metafields-mps","Variant Drop or Stock"
"file_upload-metafields_~_variants-hg","Variant ID"
"file_upload-metafields_~_variants-hg","Variant SKU"
"file_upload-metafields_~_variants-hg","Variant First Available"
"file_upload-metafields_~_variants-hg","Variant Mapped Color"
"file_upload-metafields_~_variants-hg","Variant Opening Price"
"file_upload-metafields_~_variants-hg","Variant Mapped Size"
"file_upload-metafields_~_variants-hg","Variant Drop or Stock"
"variant_metafields-consolidated","Source Table Name"
"variant_metafields-consolidated","Source Table Index"
"variant_metafields-consolidated","Variant ID     [pk]"
"variant_metafields-consolidated","Variant SKU"
"variant_metafields-consolidated","Variant First Available"
"variant_metafields-consolidated","Variant Mapped Color"
"variant_metafields-consolidated","Variant Opening Price"
"variant_metafields-consolidated","Variant Mapped Size"
"variant_metafields-consolidated","Variant Drop or Stock"
"variant_metafields-consolidated","Consolidated variant ID"
"variant_metafields-consolidated","Copy of Variant SKU (ref to HG)"
"variant_metafields-consolidated","Copy of Variant SKU (ref to MPS)"
"variant_metafields-consolidated","HG - product's title (input)"
"variant_metafields-consolidated","HG - product's type (input)"
"variant_metafields-consolidated","HG - product's published_at (input)"
"variant_metafields-consolidated","MPS - product's title (input)"
"variant_metafields-consolidated","MPS - product's type (input)"
"variant_metafields-consolidated","MPS - product's published_at (input)"
"variant_metafields-consolidated","Variant Product Name (use)"
"variant_metafields-consolidated","Variant Product Type (use)"
"variant_metafields-consolidated","Variant Product published_at (use)"
"variant_metafields-consolidated","HG - inventory_quantity (input)"
"variant_metafields-consolidated","MPS - inventory_quantity (input)"
"variant_metafields-consolidated","Inventory_quantity (use)"
"variant_metafields-consolidated","Supplier_cost"
"variant_metafields-consolidated","HG - compare_at_price (input)"
"variant_metafields-consolidated","MPS - compare_at_price (input)"
"variant_metafields-consolidated","Compare_at_price (use)"
"variant_metafields-consolidated","HG - product variant's price (input)"
"variant_metafields-consolidated","MPS - product variant's price (input)"
"variant_metafields-consolidated","Product variant's price (use)"
"variant_metafields-consolidated","Stock Cost"
"variant_metafields-consolidated","Stock Price"
"variant_metafields-consolidated","Stock Compare At Price"
"variant_metafields-consolidated","HG - product's tag"
"variant_metafields-consolidated","MPS - product's tag"
"variant_metafields-consolidated","Consolidated product's tag"
"variant_metafields-consolidated","First sold at price"
"variant_metafields-consolidated","Variant's last order date"
"variant_metafields-consolidated","Seconds since last order"
"variant_metafields-consolidated","Price Range ($50 intervals)"
"variant_metafields-consolidated","Price Range ($25 intervals)"
"variant_metafields-consolidated","MPS - variant's title (input)"
"variant_metafields-consolidated","HG - variant's title (input)"
"variant_metafields-consolidated","Variant's title (use)"
"order_refunds-mps","_id"
"order_refunds-mps","note"
"order_refunds-mps","order_id"
"order_refunds-mps","_updated_at"
"order_refunds-mps","id"
"order_refunds-mps","restock"
"order_refunds-mps","user_id"
"order_refunds-mps","created_at"
"order_refunds-hg","_id"
"order_refunds-hg","note"
"order_refunds-hg","order_id"
"order_refunds-hg","_updated_at"
"order_refunds-hg","id"
"order_refunds-hg","restock"
"order_refunds-hg","user_id"
"order_refunds-hg","created_at"
"order_refunds-consolidated","Source table name"
"order_refunds-consolidated","Source Table Index"
"order_refunds-consolidated","_id     [pk]"
"order_refunds-consolidated","note"
"order_refunds-consolidated","order_id"
"order_refunds-consolidated","_updated_at"
"order_refunds-consolidated","id"
"order_refunds-consolidated","restock"
"order_refunds-consolidated","user_id"
"order_refunds-consolidated","created_at"
"order_refunds-consolidated","Consolidated order ID"
"order_refunds-consolidated","Order refund amount"
"order_refunds-consolidated","Consolidated order refund id"
"order_refunds_~_transactions-mps","amount"
"order_refunds_~_transactions-mps","order_id"
"order_refunds_~_transactions-mps","status"
"order_refunds_~_transactions-mps","id"
"order_refunds_~_transactions-mps","created_at"
"order_refunds_~_transactions-mps","_id_of_parent"
"order_refunds_~_transactions-mps","_sub_id"
"order_refunds_~_transactions-mps","receipt_~_refunded"
"order_refunds_~_transactions-mps","receipt_~_gross_refund_amount"
"order_refunds_~_transactions-mps","receipt_~_refund_transaction_id"
"order_refunds_~_transactions-mps","receipt_~_total_refunded_amount"
"order_refunds_~_transactions-mps","receipt_~_GrossRefundAmount"
